argomento,codice,domanda,opzione_a,opzione_b,opzione_c,opzione_d,corretta,riferimento
"Formazione generale 4h","FG_131","La presenza di liquidi sul pavimento può causare:","Nessun problema","Cadute e scivolamenti","Maggiore pulizia","Maggiore velocità","B","Art. 64"
"Formazione generale 4h","FG_132","Cos’è un rischio residuo?","Il rischio eliminato","Il rischio che rimane anche dopo le misure di prevenzione","Un rischio inventato","Un rischio senza effetti","B","Art. 28"
"Formazione generale 4h","FG_133","La valutazione dei rischi deve essere:","Aggiornata periodicamente","Fatta una volta per sempre","Facoltativa","Solo per aziende grandi","A","Art. 29"
"Formazione generale 4h","FG_134","Cosa NON è un dispositivo di protezione collettiva?","Parapetti","Ventilazione forzata","Occhiali di sicurezza","Aspirazione localizzata","C","Art. 15"
"Formazione generale 4h","FG_135","Chi definisce i contenuti della formazione?","Il bar","Il datore di lavoro e il RSPP","I colleghi","Il cliente finale","B","Art. 37"
"Formazione generale 4h","FG_136","Qual è la funzione della segnaletica di avvertimento?","Indicare un divieto","Obbligare a un comportamento","Segnalare un pericolo","Indicare una promozione","C","UNI EN ISO 7010"
"Formazione generale 4h","FG_137","Una via di fuga deve essere:","Libera e segnalata","Usata come deposito","Chiusa a chiave","Nascosta","A","DM 02/09/21"
"Formazione generale 4h","FG_138","La sorveglianza sanitaria è:","Una misura preventiva","Una formalità inutile","Facoltativa sempre","Solo per i dirigenti","A","Art. 41"
"Formazione generale 4h","FG_139","Che cos’è un rischio ergonomico?","Derivante da posture scorrette o movimenti ripetitivi","Derivante dai fulmini","Derivante dai colori del monitor","Derivante dall’altezza del soffitto","A","Titolo VII"
"Formazione generale 4h","FG_140","Un comportamento corretto in caso di emergenza è:","Usare l’ascensore","Raccogliere oggetti personali","Seguire le indicazioni degli addetti emergenza","Correre verso l’uscita","C","Art. 43"
"Formazione generale 4h","FG_141","Quale figura rappresenta i lavoratori nella sicurezza?","RSPP","Datore di lavoro","RLS","Medico competente","C","Art. 47-50"
"Formazione generale 4h","FG_142","I DPI devono essere:","Scegliuti dai lavoratori","Forniti dal datore di lavoro","Comprati autonomamente","Facoltativi","B","Art. 77"
"Formazione generale 4h","FG_143","Il microclima è composto da:","Temperatura, umidità, ventilazione","Colori delle pareti","Musica di sottofondo","Tipo di pavimento","A","Titolo II"
"Formazione generale 4h","FG_144","Cos’è un rischio interferenziale?","Rischio tra attività di più imprese","Rischio dovuto ai rumori","Rischio dovuto alla luce solare","Rischio dovuto all’umidità","A","Art. 26"
"Formazione generale 4h","FG_145","Il preposto deve:","Controllare e intervenire","Stare in ufficio","Ignorare i rischi","Evitare i lavoratori","A","Art. 19"
"Formazione generale 4h","FG_146","L’uso scorretto dei prodotti chimici può causare:","Nessun effetto","Irritazioni, ustioni o intossicazioni","Solo mal di testa leggero","Solo cattivo odore","B","Titolo IX"
"Formazione generale 4h","FG_147","Il documento che descrive i rischi aziendali è:","Busta paga","DVR","Ordine di servizio","Manuale qualità","B","Art. 17-28"
"Formazione generale 4h","FG_148","Il datore di lavoro deve informare i lavoratori su:","Vacanze estive","Rischi e misure di prevenzione","Prezzi della mensa","Attività ricreative","B","Art. 36"
"Formazione generale 4h","FG_149","I lavoratori devono:","Prendere iniziative autonome ignorando le procedure","Rispettare le istruzioni di sicurezza","Usare DPI solo se comodi","Modificare le macchine","B","Art. 20"
"Formazione generale 4h","FG_150","Le riunioni periodiche della sicurezza servono a:","Giocare a carte","Analizzare infortuni e migliorare la prevenzione","Aumentare il numero di documenti","Fare pause più lunghe","B","Art. 35"

